10|9|Br|C|H|C|H|H|C|H|H|H|0|3|1|4|1|8|3|1|6|5|1|9|3|2|6|7|3|6
10|9|Cl|H|H|H|C|H|C|H|H|C|9|4|4|8|9|7|6|1|6|2|9|3|0|4|9|6|6|5
10|9|Cl|H|H|H|C|H|C|H|H|C|9|4|4|8|9|7|6|2|6|3|0|4|4|1|9|6|6|5
10|9|Cl|H|H|H|C|H|C|H|H|C|9|4|4|8|9|7|6|2|9|3|0|4|4|1|9|6|6|5
10|9|C|C|H|H|C|H|H|H|C|H|8|0|4|2|8|7|4|6|0|5|1|8|4|3|1|4|1|9
10|9|C|C|H|H|C|H|H|H|C|H|8|9|1|5|0|4|4|3|0|8|0|2|1|7|0|6|8|1
10|9|C|C|H|H|C|P|H|H|H|H|4|1|5|0|0|2|1|6|1|3|5|7|4|0|0|8|1|9
10|9|C|C|H|H|C|P|H|H|H|H|4|1|5|0|0|3|1|6|5|7|4|0|4|2|0|8|1|9
10|9|C|C|H|H|H|C|H|H|C|H|8|9|0|5|5|3|0|8|0|2|1|7|0|6|8|1|5|4
10|9|C|C|H|H|H|C|H|H|H|C|1|6|0|5|5|3|0|9|0|2|1|8|0|7|9|1|5|4
10|9|C|C|H|H|H|C|H|H|H|C|9|0|5|3|9|8|5|7|0|6|1|9|5|4|1|5|0|2
10|9|C|C|H|H|H|C|P|H|H|H|5|1|6|0|0|3|1|7|1|4|5|0|5|2|0|8|1|9
10|9|C|C|H|H|H|H|C|H|C|H|8|9|6|3|0|6|6|4|0|8|0|2|0|7|8|1|6|5
10|9|C|C|H|H|H|H|H|P|O|H|1|5|7|0|1|9|7|6|0|4|7|8|8|3|0|1|0|2
10|9|C|C|H|H|H|H|N|P|H|H|6|8|7|0|1|9|7|6|6|4|0|2|7|1|0|5|1|3
10|9|C|C|H|H|H|H|S|H|N|H|8|0|0|3|6|0|0|4|1|5|8|9|6|1|1|7|1|2
10|9|C|C|H|H|H|S|H|H|N|H|8|0|0|2|5|0|0|3|1|4|8|7|8|9|5|1|1|6
10|9|C|C|H|H|H|S|H|H|N|H|8|0|0|3|5|0|1|4|8|7|8|9|5|1|1|6|1|2
10|9|C|C|H|H|S|H|C|H|H|H|6|1|0|7|6|9|1|5|6|0|1|3|0|8|4|2|4|6
10|9|C|H|C|H|C|H|H|H|C|H|8|9|2|5|0|4|0|8|2|1|0|3|2|7|0|6|8|2
10|9|C|H|C|H|C|P|H|H|H|H|4|2|5|0|2|6|5|7|4|0|4|3|0|8|4|1|2|9
10|9|C|H|C|H|H|C|H|H|H|C|2|6|0|5|5|4|0|9|2|1|0|3|2|8|0|7|9|2
10|9|C|H|C|H|H|C|N|H|H|H|2|9|5|2|0|4|2|7|6|0|6|8|5|3|5|0|0|1
10|9|C|H|C|H|H|C|P|H|H|H|5|2|6|0|0|4|2|7|5|0|5|3|0|8|5|1|2|9
10|9|C|H|C|H|H|C|P|H|H|H|5|2|6|0|0|4|6|7|5|0|5|3|0|8|5|1|2|9
10|9|C|H|C|H|H|C|P|H|H|H|5|2|6|0|2|7|2|4|5|0|5|3|0|8|5|1|2|9
10|9|C|H|C|H|H|C|P|H|H|H|5|2|6|0|2|7|2|4|6|8|5|0|5|3|5|1|2|9
10|9|C|H|C|H|H|H|H|P|O|H|2|5|7|0|2|9|2|1|7|6|0|4|7|8|0|2|0|3
10|9|C|H|C|H|H|H|H|P|O|H|2|5|7|0|2|9|2|1|7|6|0|4|7|8|8|3|0|2
10|9|C|H|C|H|H|H|H|P|O|H|2|6|7|0|2|9|2|1|0|5|7|8|8|4|0|2|0|3
10|9|C|H|C|H|H|H|N|P|H|H|6|8|7|0|2|9|7|6|0|1|0|3|7|2|0|5|2|4
10|9|C|H|C|H|H|H|N|P|H|H|6|8|7|0|2|9|7|6|6|4|0|1|0|3|7|2|0|5
10|9|C|H|H|C|C|H|H|H|C|H|4|2|8|5|4|0|8|6|3|1|4|3|4|8|3|7|0|9
10|9|C|H|H|C|C|H|H|H|C|H|4|2|8|5|4|0|8|6|4|3|4|8|3|7|8|1|0|9
10|9|C|H|H|C|C|H|H|H|C|H|8|5|4|0|8|6|3|1|4|3|4|8|3|7|8|2|0|9
10|9|C|H|H|C|H|C|N|H|H|H|3|9|3|2|5|3|0|4|3|7|6|0|6|8|5|0|0|1
10|9|C|H|H|C|H|H|C|H|Si|H|0|7|8|0|8|3|3|2|3|9|8|6|0|5|6|4|3|1
10|9|C|H|H|C|H|H|C|N|H|H|3|9|3|2|6|3|0|5|3|8|7|0|6|4|6|0|0|1
10|9|C|H|H|C|H|H|H|N|P|H|8|0|3|9|8|7|0|2|0|4|8|3|0|6|3|5|3|1
10|9|C|H|H|C|N|N|H|H|H|H|0|3|4|9|0|8|3|2|5|7|3|1|4|0|5|0|3|6
10|9|C|H|H|C|N|N|H|H|H|H|4|2|0|3|4|9|0|8|3|1|5|7|4|0|5|0|3|6
