0.980581,0.980622,0.98075,0.980961,0.981251,0.978877
0.980497,0.980539,0.980669,0.980882,0.981176,0.978833
0.980236,0.98028,0.980415,0.980638,0.980944,0.978598
0.979791,0.979838,0.979983,0.980221,0.980548,0.978265
0.979148,0.9792,0.979359,0.97962,0.979978,0.97907
0.978288,0.978346,0.978525,0.978818,0.979219,0.977029
0.977183,0.97725,0.977455,0.977791,0.978249,0.976101
0.975796,0.975875,0.976115,0.976508,0.977042,0.97497
0.974079,0.974173,0.974459,0.974927,0.97556,0.973613
0.971966,0.972081,0.972428,0.972994,0.973756,0.971971
0.969374,0.969515,0.969944,0.970639,0.971572,0.96998
0.966188,0.966365,0.966902,0.96777,0.968927,0.967604
0.962257,0.962482,0.963165,0.964265,0.965723,0.96471
0.957375,0.957667,0.958548,0.959963,0.961827,0.961322
0.951262,0.951645,0.952801,0.95465,0.957068,0.95718
0.943527,0.94404,0.94558,0.948032,0.951216,0.952195
0.933627,0.934321,0.936405,0.939708,0.943968,0.946094
0.920787,0.921741,0.924599,0.929117,0.934906,0.938777
0.90391,0.905232,0.909197,0.915461,0.923458,0.929679
0.881434,0.883272,0.888803,0.897582,0.908805,0.918457
0.851199,0.853723,0.86139,0.873742,0.88973,0.904841
0.810368,0.813704,0.824031,0.841227,0.864282,0.889095
0.755699,0.759737,0.772656,0.795597,0.828922,0.866264
0.684601,0.688674,0.702346,0.729375,0.775872,0.838574
0.597358,0.600098,0.609778,0.63171,0.683347,0.801231
0.499517,0.499578,0.499798,0.500334,0.501987,0.623511
