"Monday, August 11, 2008",3
"Tuesday, August 12, 2008",7
"Wednesday, August 13, 2008",1
"Thursday, August 14, 2008",7
"Friday, August 15, 2008",1
"Saturday, August 16, 2008",0
"Sunday, August 17, 2008",2
"Monday, August 18, 2008",3
"Tuesday, August 19, 2008",2
"Wednesday, August 20, 2008",2
"Thursday, August 21, 2008",6
"Friday, August 22, 2008",4
"Saturday, August 23, 2008",1
"Sunday, August 24, 2008",2
"Monday, August 25, 2008",4
"Tuesday, August 26, 2008",12
"Wednesday, August 27, 2008",4
"Thursday, August 28, 2008",7
"Friday, August 29, 2008",3
"Saturday, August 30, 2008",1
"Sunday, August 31, 2008",1
"Monday, September 1, 2008",1
"Tuesday, September 2, 2008",6
"Wednesday, September 3, 2008",2
"Thursday, September 4, 2008",6
"Friday, September 5, 2008",9
"Saturday, September 6, 2008",2
"Sunday, September 7, 2008",5
"Monday, September 8, 2008",4
"Tuesday, September 9, 2008",6
"Wednesday, September 10, 2008",7
"Thursday, September 11, 2008",32
"Friday, September 12, 2008",42
"Saturday, September 13, 2008",7
"Sunday, September 14, 2008",5
"Monday, September 15, 2008",15
"Tuesday, September 16, 2008",17
"Wednesday, September 17, 2008",15
"Thursday, September 18, 2008",19
"Friday, September 19, 2008",20
"Saturday, September 20, 2008",10
"Sunday, September 21, 2008",14
"Monday, September 22, 2008",14
"Tuesday, September 23, 2008",10
"Wednesday, September 24, 2008",8
"Thursday, September 25, 2008",20
"Friday, September 26, 2008",4
"Saturday, September 27, 2008",3
"Sunday, September 28, 2008",24
"Monday, September 29, 2008",10
"Tuesday, September 30, 2008",14
"Wednesday, October 1, 2008",5
"Thursday, October 2, 2008",12
"Friday, October 3, 2008",13
"Saturday, October 4, 2008",8
"Sunday, October 5, 2008",10
"Monday, October 6, 2008",24
"Tuesday, October 7, 2008",22
"Wednesday, October 8, 2008",14
"Thursday, October 9, 2008",13
"Friday, October 10, 2008",13
"Saturday, October 11, 2008",17
"Sunday, October 12, 2008",16
"Monday, October 13, 2008",14
"Tuesday, October 14, 2008",20
"Wednesday, October 15, 2008",33
"Thursday, October 16, 2008",27
"Friday, October 17, 2008",8
"Saturday, October 18, 2008",10
"Sunday, October 19, 2008",6
"Monday, October 20, 2008",12
"Tuesday, October 21, 2008",30
"Wednesday, October 22, 2008",14
"Thursday, October 23, 2008",11
"Friday, October 24, 2008",15
"Saturday, October 25, 2008",9
"Sunday, October 26, 2008",4
"Monday, October 27, 2008",8
"Tuesday, October 28, 2008",17
"Wednesday, October 29, 2008",2
"Thursday, October 30, 2008",11
"Friday, October 31, 2008",14
"Saturday, November 1, 2008",15
"Sunday, November 2, 2008",29
"Monday, November 3, 2008",41
"Tuesday, November 4, 2008",38
"Wednesday, November 5, 2008",25
"Thursday, November 6, 2008",11
"Friday, November 7, 2008",18
"Saturday, November 8, 2008",17
"Sunday, November 9, 2008",13
"Monday, November 10, 2008",23
"Tuesday, November 11, 2008",20
"Wednesday, November 12, 2008",18
"Thursday, November 13, 2008",31
"Friday, November 14, 2008",19
"Saturday, November 15, 2008",16
"Sunday, November 16, 2008",5
"Monday, November 17, 2008",32
"Tuesday, November 18, 2008",28
"Wednesday, November 19, 2008",13
"Thursday, November 20, 2008",16
"Friday, November 21, 2008",29
"Saturday, November 22, 2008",22
"Sunday, November 23, 2008",10
"Monday, November 24, 2008",16
"Tuesday, November 25, 2008",16
"Wednesday, November 26, 2008",21
"Thursday, November 27, 2008",23
"Friday, November 28, 2008",13
"Saturday, November 29, 2008",8
"Sunday, November 30, 2008",10
"Monday, December 1, 2008",27
"Tuesday, December 2, 2008",22
"Wednesday, December 3, 2008",23
"Thursday, December 4, 2008",8
"Friday, December 5, 2008",8
"Saturday, December 6, 2008",9
"Sunday, December 7, 2008",6
"Monday, December 8, 2008",10
"Tuesday, December 9, 2008",23
"Wednesday, December 10, 2008",11
"Thursday, December 11, 2008",24
"Friday, December 12, 2008",7
"Saturday, December 13, 2008",7
"Sunday, December 14, 2008",14
"Monday, December 15, 2008",10
"Tuesday, December 16, 2008",16
"Wednesday, December 17, 2008",21
"Thursday, December 18, 2008",16
"Friday, December 19, 2008",10
"Saturday, December 20, 2008",8
"Sunday, December 21, 2008",7
"Monday, December 22, 2008",4
"Tuesday, December 23, 2008",13
"Wednesday, December 24, 2008",7
"Thursday, December 25, 2008",12
"Friday, December 26, 2008",4
"Saturday, December 27, 2008",3
"Sunday, December 28, 2008",2
"Monday, December 29, 2008",7
"Tuesday, December 30, 2008",10
"Wednesday, December 31, 2008",6
"Thursday, January 1, 2009",3
